EstablishmentID	InspectionID	EstablishmentName	PlaceName	Address	Address2	City	State	Zip	TypeDescription	Latitude	Longitude	InspectionDate	Score	Grade	NameSearch	Intersection
29831	1014104	V FOOD MART	 	4310 FEGENBUSH LANE		LOUISVILLE	KY	40218	PRE-PACKAGED RETAIL	38.1868728	-85.6381116	2014-06-04 00:00:00	100		VFOODMART	
29862	1083063	HAUCK'S HANDY STORE	 	1000 GOSS AVE		LOUISVILLE	KY	40217	PRE-PACKAGED RETAIL	38.2277000	-85.7364000	2015-02-27 00:00:00	100		HAUCKSHANDYSTORE	
29868	1054514	GREENWOOD MARKET	 	7701 GREENWOOD RD		LOUISVILLE	KY	40258	PRE-PACKAGED RETAIL	38.1477000	-85.8930000	2014-10-20 00:00:00	97		GREENWOODMARKET	
29918	1063855	IGA PIC PAC	 	9304 BLUE LICK RD		LOUISVILLE	KY	40229	PRE-PACKAGED RETAIL	38.1142000	-85.6908000	2014-11-24 00:00:00	94		IGAPICPAC	
29920	1057333	SPEEDY MART #7	 	10231 BLUE LICK RD		LOUISVILLE	KY	40229	PRE-PACKAGED RETAIL	38.0967000	-85.6959000	2014-10-29 00:00:00	88		SPEEDYMART	
29928	1025792	BROADWAY FOOD MART	 	4132 W. BROADWAY		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2498000	-85.8208000	2014-07-09 00:00:00	92	A	BROADWAYFOODMART	
29928	1025793	BROADWAY FOOD MART	 	4132 W. BROADWAY		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2498000	-85.8208000	2014-07-09 00:00:00	92		BROADWAYFOODMART	
29928	1067712	BROADWAY FOOD MART	 	4132 W. BROADWAY		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2498000	-85.8208000	2014-12-09 00:00:00	93	A	BROADWAYFOODMART	
29928	1067713	BROADWAY FOOD MART	 	4132 W. BROADWAY		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2498000	-85.8208000	2014-12-09 00:00:00	93		BROADWAYFOODMART	
29956	1068443	CVS / PHARMACY #6211	 	3721 LEXINGTON RD		LOUISVILLE	KY	40207	PRE-PACKAGED RETAIL	38.2525000	-85.6600000	2014-12-09 00:00:00	100		CVSPHARMACY	
29967	1016675	NEIGHBORHOOD FOOD MART	 	542 LAMPTON ST		LOUISVILLE	KY	40203	PRE-PACKAGED RETAIL	38.2416000	-85.7443000	2014-06-10 00:00:00	96		NEIGHBORHOODFOODMART	
29967	1066336	NEIGHBORHOOD FOOD MART	 	542 LAMPTON ST		LOUISVILLE	KY	40203	PRE-PACKAGED RETAIL	38.2416000	-85.7443000	2014-12-04 00:00:00	94		NEIGHBORHOODFOODMART	
29979	1014068	CIRCLE K #75	 	1630 ARTHUR ST		LOUISVILLE	KY	40217	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2227000	-85.7519000	2014-06-03 00:00:00	98	A	CIRCLEK	
29979	1014069	CIRCLE K #75	 	1630 ARTHUR ST		LOUISVILLE	KY	40217	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2227000	-85.7519000	2014-06-03 00:00:00	95		CIRCLEK	
29979	1076622	CIRCLE K #75	 	1630 ARTHUR ST		LOUISVILLE	KY	40217	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2227000	-85.7519000	2015-01-22 00:00:00	90	A	CIRCLEK	
29979	1076623	CIRCLE K #75	 	1630 ARTHUR ST		LOUISVILLE	KY	40217	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2227000	-85.7519000	2015-01-22 00:00:00	90		CIRCLEK	
29998	1101558	PIC PAC	 	2421 W MARKET ST		LOUISVILLE	KY	40212	SUPERMARKET WITH PROCESSING	38.2595000	-85.7909000	2015-05-18 00:00:00	95		PICPAC	
30043	1055227	F & Y SUPERMARKET	 	3801 W. MARKET STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2621000	-85.8123000	2014-10-22 00:00:00	97	A	FYSUPERMARKET	
30043	1055228	F & Y SUPERMARKET	 	3801 W. MARKET STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2621000	-85.8123000	2014-10-22 00:00:00	89		FYSUPERMARKET	
30043	1094564	F & Y SUPERMARKET	 	3801 W. MARKET STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2621000	-85.8123000	2015-04-20 00:00:00	92	A	FYSUPERMARKET	
30043	1094565	F & Y SUPERMARKET	 	3801 W. MARKET STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2621000	-85.8123000	2015-04-20 00:00:00	90		FYSUPERMARKET	
30051	1066317	RITE AID #4629	 	409 W. OAK ST		LOUISVILLE	KY	40203	PRE-PACKAGED RETAIL	38.2352000	-85.7609000	2014-12-03 00:00:00	98		RITEAID	
30075	1059937	CVS / PHARMACY #6199	 	3130 PORTLAND		LOUISVILLE	KY	40212	PRE-PACKAGED RETAIL	38.2738780	-85.7994620	2014-11-07 00:00:00	100		CVSPHARMACY	
30085	1023607	SPEEDWAY #9709	 	4239 POPLAR LEVEL ROAD		LOUISVILLE	KY	40213	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1974000	-85.7077000	2014-07-02 00:00:00	99	A	SPEEDWAY	
30085	1023608	SPEEDWAY #9709	 	4239 POPLAR LEVEL ROAD		LOUISVILLE	KY	40213	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1974000	-85.7077000	2014-07-02 00:00:00	100		SPEEDWAY	
30085	1069254	SPEEDWAY #9709	 	4239 POPLAR LEVEL ROAD		LOUISVILLE	KY	40213	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1974000	-85.7077000	2014-12-16 00:00:00	99	A	SPEEDWAY	
30085	1069255	SPEEDWAY #9709	 	4239 POPLAR LEVEL ROAD		LOUISVILLE	KY	40213	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1974000	-85.7077000	2014-12-16 00:00:00	100		SPEEDWAY	
30090	1086949	JIM DANDY FOOD MART	 	4902 POPLAR LEVEL RD		LOUISVILLE	KY	40219	PRE-PACKAGED RETAIL	38.1709000	-85.6850000	2015-03-18 00:00:00	94		JIMDANDYFOODMART	
30102	1044869	FIVE STAR FOOD MART #863	 	3901 TAYLOR BLVD		LOUISVILLE	KY	40215	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1877000	-85.7831000	2014-09-15 00:00:00	98	A	FIVESTARFOODMART	
30102	1044870	FIVE STAR FOOD MART #863	 	3901 TAYLOR BLVD		LOUISVILLE	KY	40215	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1877000	-85.7831000	2014-09-15 00:00:00	94		FIVESTARFOODMART	
30102	1083951	FIVE STAR FOOD MART #863	 	3901 TAYLOR BLVD		LOUISVILLE	KY	40215	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1877000	-85.7831000	2015-03-04 00:00:00	95	A	FIVESTARFOODMART	
30102	1083952	FIVE STAR FOOD MART #863	 	3901 TAYLOR BLVD		LOUISVILLE	KY	40215	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1877000	-85.7831000	2015-03-04 00:00:00	93		FIVESTARFOODMART	
30108	1062868	SPEEDWAY #9515	 	2720 TAYLORSVILLE RD		LOUISVILLE	KY	40205	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2226000	-85.6691000	2014-11-14 00:00:00	100	A	SPEEDWAY	
30108	1062869	SPEEDWAY #9515	 	2720 TAYLORSVILLE RD		LOUISVILLE	KY	40205	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2226000	-85.6691000	2014-11-14 00:00:00	99		SPEEDWAY	
30153	1057799	CIRCLE K #131	 	9401 WESTPORT RD		LOUISVILLE	KY	40222	PRE-PACKAGED RETAIL	38.2862000	-85.5770000	2014-10-30 00:00:00	97		CIRCLEK	
30154	1069616	CIRCLE K #117	 	9619 WHIPPS MILL RD		LOUISVILLE	KY	40222	SUPERMARKET WITH PROCESSING	38.2693000	-85.5784000	2014-12-16 00:00:00	93		CIRCLEK	
30162	1055229	CORNER MARKET	 	358 N. 26TH STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2660000	-85.7933000	2014-10-22 00:00:00	98	A	CORNERMARKET	
30162	1055230	CORNER MARKET	 	358 N. 26TH STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2660000	-85.7933000	2014-10-22 00:00:00	97		CORNERMARKET	
30162	1094566	CORNER MARKET	 	358 N. 26TH STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2660000	-85.7933000	2015-04-20 00:00:00	95	A	CORNERMARKET	
30162	1094567	CORNER MARKET	 	358 N. 26TH STREET		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2660000	-85.7933000	2015-04-20 00:00:00	98		CORNERMARKET	
30165	1082325	DERBY CITY PRODUCE	 	301 S. 18TH ST		LOUISVILLE	KY	40203	PRE-PACKAGED RETAIL	38.2561000	-85.7801000	2015-02-24 00:00:00	87		DERBYCITYPRODUCE	
30198	1060082	SAVE-A-LOT #87	 	8704 NATIONAL TURNPIKE		LOUISVILLE	KY	40118	PRE-PACKAGED RETAIL	38.1231000	-85.7497000	2014-11-10 00:00:00	98		SAVEALOT	
30227	1062111	DAIRY MART #3296	 	309 E ST CATHERINE ST		LOUISVILLE	KY	40203	PRE-PACKAGED RETAIL	38.2367000	-85.7507000	2014-11-17 00:00:00	98		DAIRYMART	
30242	1025778	CURTIS MARKET	 	2720 DUNCAN		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2636000	-85.7967000	2014-07-09 00:00:00	99	A	CURTISMARKET	
30242	1025779	CURTIS MARKET	 	2720 DUNCAN		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2636000	-85.7967000	2014-07-09 00:00:00	99		CURTISMARKET	
30242	1084325	CURTIS MARKET	 	2720 DUNCAN		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2636000	-85.7967000	2015-03-06 00:00:00	94	A	CURTISMARKET	
30242	1084326	CURTIS MARKET	 	2720 DUNCAN		LOUISVILLE	KY	40212	RETAIL-FOOD  10,000 SQ FT OR LESS	38.2636000	-85.7967000	2015-03-06 00:00:00	95		CURTISMARKET	
30245	1069610	AL'S BAIT HOUSE	 	14216 DIXIE HWY		LOUISVILLE	KY	40272	PRE-PACKAGED RETAIL	38.0504000	-85.8962000	2014-12-16 00:00:00	97		ALSBAITHOUSE	
30245	1069613	AL'S BAIT HOUSE	 	14216 DIXIE HWY		LOUISVILLE	KY	40272	PRE-PACKAGED RETAIL	38.0504000	-85.8962000	2014-12-16 00:00:00	97		ALSBAITHOUSE	
30248	1057062	PHOENIX SCHOOL OF DISCOVERY	 	3741 PULLIAM DRIVE		LOUISVILLE	KY	40218	SCHOOL CAFETERIA OR FOOD SERVICE	38.2025714	-85.6431747	2014-10-27 00:00:00	100		PHOENIXSCHOOLOFDISCOVERY	
30248	1083041	PHOENIX SCHOOL OF DISCOVERY	 	3741 PULLIAM DRIVE		LOUISVILLE	KY	40218	SCHOOL CAFETERIA OR FOOD SERVICE	38.2025714	-85.6431747	2015-02-26 00:00:00	100	A	PHOENIXSCHOOLOFDISCOVERY	
30258	1062052	CIRCLE K #110	 	3001 FERN VALLEY RD		LOUISVILLE	KY	40213	SUPERMARKET WITH PROCESSING	38.1575000	-85.7090000	2014-11-18 00:00:00	90		CIRCLEK	
30264	1050716	SPEEDWAY #5043	 	4417 DIXIE HWY		LOUISVILLE	KY	40216	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1815000	-85.8153000	2014-10-03 00:00:00	96	A	SPEEDWAY	
30264	1050717	SPEEDWAY #5043	 	4417 DIXIE HWY		LOUISVILLE	KY	40216	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1815000	-85.8153000	2014-10-03 00:00:00	96		SPEEDWAY	
30264	1086109	SPEEDWAY #5043	 	4417 DIXIE HWY		LOUISVILLE	KY	40216	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1815000	-85.8153000	2015-03-13 00:00:00	97	A	SPEEDWAY	
30264	1086110	SPEEDWAY #5043	 	4417 DIXIE HWY		LOUISVILLE	KY	40216	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1815000	-85.8153000	2015-03-13 00:00:00	97		SPEEDWAY	
30295	1055894	THE GRAND MARKET	 	1731 DIXIE HGWY		LOUISVILLE	KY	40211	SUPERMARKET WITH PROCESSING	38.2248000	-85.7910000	2014-10-24 00:00:00	88		THEGRANDMARKET	
30295	1058186	THE GRAND MARKET	 	1731 DIXIE HGWY		LOUISVILLE	KY	40211	SUPERMARKET WITH PROCESSING	38.2248000	-85.7910000	2014-10-31 00:00:00	91		THEGRANDMARKET	
30295	1095540	THE GRAND MARKET	 	1731 DIXIE HGWY		LOUISVILLE	KY	40211	SUPERMARKET WITH PROCESSING	38.2248000	-85.7910000	2015-04-23 00:00:00	90		THEGRANDMARKET	
30319	1076946	ROADSIDE GROCERY	 	18104 SHELBYVILLE RD		LOUISVILLE	KY	40023	SUPERMARKET WITH PROCESSING	38.2356000	-85.4281000	2015-01-23 00:00:00	100		ROADSIDEGROCERY	
30320	1066752	J.C. CIGARETTE OUTLETT	 	6620 SIX MILE LANE		LOUISVILLE	KY	40218	PRE-PACKAGED RETAIL	38.1972000	-85.6291000	2014-12-08 00:00:00	94		JCCIGARETTEOUTLETT	
30337	1093925	PIC PAC	 	3110 TAYLOR BLVD		LOUISVILLE	KY	40215	SUPERMARKET WITH PROCESSING	38.2064000	-85.7767000	2015-04-16 00:00:00	96		PICPAC	
30374	1030350	SUGAR AND SPICE	 	5613 BARDSTOWN RD		LOUISVILLE	KY	40219	PRE-PACKAGED RETAIL	38.1646000	-85.5977000	2014-07-24 00:00:00	97		SUGARANDSPICE	
30394	1034894	SAM'S CLUB #8276	 	6622 PRESTON HWY		LOUISVILLE	KY	40219	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1549000	-85.6998000	2014-08-12 00:00:00	100	A	SAMSCLUB	
30394	1034895	SAM'S CLUB #8276	 	6622 PRESTON HWY		LOUISVILLE	KY	40219	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1549000	-85.6998000	2014-08-12 00:00:00	99		SAMSCLUB	
30394	1074894	SAM'S CLUB #8276	 	6622 PRESTON HWY		LOUISVILLE	KY	40219	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1549000	-85.6998000	2015-01-13 00:00:00	98	A	SAMSCLUB	
30394	1074895	SAM'S CLUB #8276	 	6622 PRESTON HWY		LOUISVILLE	KY	40219	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1549000	-85.6998000	2015-01-13 00:00:00	98		SAMSCLUB	
30399	1019061	BIG LOTS #175	 	5318 BARDSTOWN RD		LOUISVILLE	KY	40291	PRE-PACKAGED RETAIL	38.1664000	-85.6047000	2014-06-17 00:00:00	100		BIGLOTS	
30407	1061551	MANLEY'S MARATHON	 	7205 MANSLICK  RD		LOUISVILLE	KY	40214	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1555000	-85.8014000	2014-11-13 00:00:00	97	A	MANLEYSMARATHON	
30407	1061552	MANLEY'S MARATHON	 	7205 MANSLICK  RD		LOUISVILLE	KY	40214	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1555000	-85.8014000	2014-11-13 00:00:00	95		MANLEYSMARATHON	
30407	1097161	MANLEY'S MARATHON	 	7205 MANSLICK  RD		LOUISVILLE	KY	40214	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1555000	-85.8014000	2015-04-30 00:00:00	98	A	MANLEYSMARATHON	
30407	1097162	MANLEY'S MARATHON	 	7205 MANSLICK  RD		LOUISVILLE	KY	40214	RETAIL-FOOD  10,000 SQ FT OR LESS	38.1555000	-85.8014000	2015-04-30 00:00:00	95		MANLEYSMARATHON	
30411	1028237	WALGREENS #12322	 	808 EASTERN PKWY		LOUISVILLE	KY	40217	PRE-PACKAGED RETAIL	38.2147000	-85.7417000	2014-07-18 00:00:00	100		WALGREENS	
30419	1064415	FIRST LINK SUPERMARKET	 	431 E LIBERTY ST		LOUISVILLE	KY	40202	PRE-PACKAGED RETAIL	38.2515000	-85.7453000	2014-11-26 00:00:00	100		FIRSTLINKSUPERMARKET	
30419	1064811	FIRST LINK SUPERMARKET	 	431 E LIBERTY ST		LOUISVILLE	KY	40202	PRE-PACKAGED RETAIL	38.2515000	-85.7453000	2014-11-26 00:00:00	100		FIRSTLINKSUPERMARKET	
30425	1019052	BIG LOTS #226	 	4121 SHELBYVILLE RD		LOUISVILLE	KY	40205	SUPERMARKET WITH PROCESSING	38.2532000	-85.6459000	2014-06-17 00:00:00	100		BIGLOTS	
30826	1022331	TIMOTHY'S ANGELS	 	1351 CATALPA AVE		LOUISVILLE	KY	40211	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2347000	-85.8015000	2014-06-26 00:00:00	100	A	TIMOTHYSANGELS	
30826	1061543	TIMOTHY'S ANGELS	 	1351 CATALPA AVE		LOUISVILLE	KY	40211	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2347000	-85.8015000	2014-11-13 00:00:00	100	A	TIMOTHYSANGELS	
30917	1013129	BRIGHT HORIZONS @ PLAINVIEW SCHOOL	 	10320 TIMBERWOOD CIRCLE		LOUISVILLE	KY	40223	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2346000	-85.5678000	2014-05-30 00:00:00	97	A	BRIGHTHORIZONSPLAINVIEWSCHOOL	
30917	1064873	BRIGHT HORIZONS @ PLAINVIEW SCHOOL	 	10320 TIMBERWOOD CIRCLE		LOUISVILLE	KY	40223	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2346000	-85.5678000	2014-12-01 00:00:00	95	A	BRIGHTHORIZONSPLAINVIEWSCHOOL	
30968	1015536	KIDDIE KAMPUS DAY CARE	 	3685 POPLAR LEVEL RD		LOUISVILLE	KY	40213	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2077000	-85.7147000	2014-06-09 00:00:00	100	A	KIDDIEKAMPUSDAYCARE	
30968	1065957	KIDDIE KAMPUS DAY CARE	 	3685 POPLAR LEVEL RD		LOUISVILLE	KY	40213	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2077000	-85.7147000	2014-12-03 00:00:00	100	A	KIDDIEKAMPUSDAYCARE	
30972	1051073	KINDER CARE	 	730 ZORN AVE		LOUISVILLE	KY	40206	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2688000	-85.6930000	2014-10-07 00:00:00	97	A	KINDERCARE	
30972	1087537	KINDER CARE	 	730 ZORN AVE		LOUISVILLE	KY	40206	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2688000	-85.6930000	2015-03-19 00:00:00	99	A	KINDERCARE	
30989	1039515	SOUTHSIDE CHRISTIAN DAYCARE INC.	 	5804 SOUTHSIDE DR		LOUISVILLE	KY	40214	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1666000	-85.7651000	2014-08-28 00:00:00	100	A	SOUTHSIDECHRISTIANDAYCAREINC	
30989	1074049	SOUTHSIDE CHRISTIAN DAYCARE INC.	 	5804 SOUTHSIDE DR		LOUISVILLE	KY	40214	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1666000	-85.7651000	2015-01-09 00:00:00	99	A	SOUTHSIDECHRISTIANDAYCAREINC	
30993	1014486	WEE CARE NURSERY	 	11616 MAIN ST		LOUISVILLE	KY	40243	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2447170	-85.5401210	2014-06-04 00:00:00	100	A	WEECARENURSERY	
30993	1064897	WEE CARE NURSERY	 	11616 MAIN ST		LOUISVILLE	KY	40243	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2447170	-85.5401210	2014-12-01 00:00:00	89	C	WEECARENURSERY	
30993	1067228	WEE CARE NURSERY	 	11616 MAIN ST		LOUISVILLE	KY	40243	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2447170	-85.5401210	2014-12-08 00:00:00	100	A	WEECARENURSERY	
30996	1023576	KIDDIE LAND DAY CARE CTR.	 	1152 DIXIE HGWY		LOUISVILLE	KY	40210	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2378000	-85.7869000	2014-07-01 00:00:00	99	A	KIDDIELANDDAYCARECTR	
30996	1082011	KIDDIE LAND DAY CARE CTR.	 	1152 DIXIE HGWY		LOUISVILLE	KY	40210	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2378000	-85.7869000	2015-02-23 00:00:00	100	A	KIDDIELANDDAYCARECTR	
31039	1022710	JOHNSON'S DAY CARE	 	5533 BRUCE AVE		LOUISVILLE	KY	40214	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1463000	-85.7822000	2014-06-27 00:00:00	100	A	JOHNSONSDAYCARE	
31039	1072531	JOHNSON'S DAY CARE	 	5533 BRUCE AVE		LOUISVILLE	KY	40214	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1463000	-85.7822000	2015-01-05 00:00:00	97	A	JOHNSONSDAYCARE	
31043	1058203	KINDER CARE LEARN CTR #424	 	3804 KLONDIKE LN		LOUISVILLE	KY	40218	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2080000	-85.6382000	2014-10-31 00:00:00	97	A	KINDERCARELEARNCTR	
31043	1091846	KINDER CARE LEARN CTR #424	 	3804 KLONDIKE LN		LOUISVILLE	KY	40218	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2080000	-85.6382000	2015-04-08 00:00:00	97	A	KINDERCARELEARNCTR	
31053	1023866	KINDER-CARE/SHELBYVILLE	 	8016 SHELBYVILLE RD		LOUISVILLE	KY	40222	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2481000	-85.6049000	2014-07-02 00:00:00	98	A	KINDERCARESHELBYVILLE	
31053	1064874	KINDER-CARE/SHELBYVILLE	 	8016 SHELBYVILLE RD		LOUISVILLE	KY	40222	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2481000	-85.6049000	2014-12-01 00:00:00	97	A	KINDERCARESHELBYVILLE	
31071	1056958	KINDER-CARE NEWBURG	 	2990 NEWBURG RD		LOUISVILLE	KY	40205	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2045000	-85.6929000	2014-10-28 00:00:00	100	A	KINDERCARENEWBURG	
31071	1085066	KINDER-CARE NEWBURG	 	2990 NEWBURG RD		LOUISVILLE	KY	40205	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2045000	-85.6929000	2015-03-10 00:00:00	100	A	KINDERCARENEWBURG	
31081	1017214	LOU. BAPT HOSP CHILD DEV.	 	4000 KRESGE WAY		LOUISVILLE	KY	40207	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2381000	-85.6386000	2014-06-11 00:00:00	99	A	LOUBAPTHOSPCHILDDEV	
31081	1068120	LOU. BAPT HOSP CHILD DEV.	 	4000 KRESGE WAY		LOUISVILLE	KY	40207	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2381000	-85.6386000	2014-12-10 00:00:00	100	A	LOUBAPTHOSPCHILDDEV	
31090	1027351	HELEN'S DAY CARE INC.	 	4529 CANE RUN RD		LOUISVILLE	KY	40216	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1932000	-85.8449000	2014-07-14 00:00:00	100	A	HELENSDAYCAREINC	
31090	1070562	HELEN'S DAY CARE INC.	 	4529 CANE RUN RD		LOUISVILLE	KY	40216	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1932000	-85.8449000	2014-12-19 00:00:00	100	A	HELENSDAYCAREINC	
31097	1047510	KINDER CARE/HERR LANE	 	2013 HERR LANE		LOUISVILLE	KY	40222	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2808000	-85.6247000	2014-09-24 00:00:00	100	A	KINDERCAREHERRLANE	
31097	1087540	KINDER CARE/HERR LANE	 	2013 HERR LANE		LOUISVILLE	KY	40222	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2808000	-85.6247000	2015-03-19 00:00:00	100	A	KINDERCAREHERRLANE	
31102	1042746	PLAY N LEARN	 	5114 SHEPHERDSVILLE RD		LOUISVILLE	KY	40228	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.1753000	-85.6599000	2014-09-10 00:00:00	99	A	PLAYNLEARN	
31110	1022318	WHITEHALL DAY CARE CENTER	 	2633 WHITEHALL TERRACE		LOUISVILLE	KY	40220	FOOD SERVICE (DAY CARE / CHILD CARE CENTER	38.2141000	-85.6315000	2014-06-26 00:00:00	97	A	WHITEHALLDAYCARECENTER	
